Theme,Subtheme,Participant(s),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Understanding through Multimodality,improved general understanding ,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Coder 2,,,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
,enhanced understading through visuals,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
Coder 2,,,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
,distracted by visuals,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Coder 2,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,enhanced understading through music,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Coder 2,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,distracted by music,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Coder 2,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpretation ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guided by storyboard,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1
Coder 2,,,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open to individual interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Coder 2,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clarity for Storyboard,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0
Coder 2,,,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clarity of Traditional,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1
Coder 2,,,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased engagement of storyboards,"Loss of attention, boredom",,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Coder 2,,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complementary methodologies,Ideal solution would be a blend of methods,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder 1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Coder 2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
